"Molecule","Library","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex"
"CCc1noc(C)c1C(=O)Nc1cc(C)on1","DSPL",12.41384908344359,9.90362911276768,7.284457050376174,7.878315177510851,8.113392202930195,5.31274484383531,3.388010440969447,4.086552190957389,13.432098765432098,5.760000000000001,3.0625,9.876102533950617,4.1461166736,2.1672428916015627,2.408674905070345
"NC(=O)c1ccc(NC(=O)C2CCCC2)cc1","DSPL",12.25071237662706,9.609025320811673,7.715178470694321,8.54360559544051,8.164703797946448,5.873462345627133,4.676538920568457,5.616156409449845,13.432098765432098,6.25,3.7288941736028534,9.616892444444446,4.372218666666667,2.560524556480381,2.4733621565250377
"CC(Cc1ccc(O)cc1)N(C)C","DSPL",9.844934982691242,8.488285318134592,7.593858127134677,8.267584713501615,6.092224152875016,4.536752033789737,3.160519155292681,4.026840011972804,11.076923076923077,5.024221453287198,3.7037037037037033,9.102699692307693,4.055055529411765,2.9438094074074077,2.8393809784513144
"COc1ccccc1NC(=O)c1ccc(C)s1","DSPL",12.25071237662706,10.505343067457071,7.964101615137755,9.129392033067417,8.202708600407233,6.029275324031899,3.4880338717125854,4.877010097711745,13.432098765432098,6.25,3.4844444444444442,10.53390026907741,4.820824637171318,2.652265770512758,2.9871815260396444
"C(NCc1ccncc1)c1cccs1","DSPL",9.639981912617824,8.627623913592025,6.455665446700477,7.51866156905818,6.949489742783178,5.449449295867532,2.9064655183043193,4.041241452319315,10.515555555555556,5.777777777777778,3.5918367346938775,8.648494557745053,4.674303946439579,2.8693498426368675,2.8875494458592086
"CC(=O)c1cccc(NC(=O)N2CCOCC2)c1","DSPL",12.957819157813608,10.309786668396242,8.137828201504695,8.966255326250884,8.66470379794645,5.913028094483063,3.5713672050459184,4.543676764378412,14.409972299168976,6.9632000000000005,4.266666666666667,10.529164409972301,4.985397043200001,3.0089292800000007,2.916225839824588
"N#Cc1cccc2c3CCCCc3[nH]c12","DSPL",10.25071237662706,8.507691527815027,7.560477932315068,8.54360559544051,7.398178147766922,5.424730514792819,4.70112371704284,5.874574785652649,10.173010380622838,4.107638888888888,1.6457142857142857,6.979050141868513,2.733762484375,1.068167339591837,1.271937696960811
"Fc1ccc(cc1)N1CCN(CC1)C(=O)C1CC1","DSPL",12.535169427003233,10.310031987540423,8.629392033067417,9.38046888862398,8.737183443017882,6.531769961872312,4.426538920568457,5.282823076116512,13.005,5.551020408163265,2.8049671292914535,9.95016424745072,4.17457413419331,2.082642067804654,2.307649905465712
"Cc1ccccc1CNc1nnnn1C","DSPL",10.673362107437432,8.805362239944884,6.516507857945051,7.267584713501616,7.270856947829096,4.7788842413760895,2.6809036597828992,3.635428473914548,11.484375,5.365079365079366,2.9822485207100593,7.748379000000004,3.5065129795918386,1.8986050650887585,1.8113194356197897
"CC(Oc1ccc(cc1)-c1ccccc1)C(O)=O","DSPL",12.957819157813608,10.037212868323945,8.77350269189626,10.250712376627058,8.664703797946448,5.715633559962673,4.848076211353316,6.693506678639471,14.409972299168976,6.9632000000000005,4.266666666666667,10.248211479224377,4.843336870400001,2.91911816,2.7575300284991084
"CCC(=O)Nc1ccc(cc1)S(N)(=O)=O","DSPL",11.474691494688166,9.043347869917856,5.516507857945051,6.2675847135016145,6.930870218218027,5.905630738940014,2.8820273768257394,3.7483482335058627,13.066666666666666,5.365079365079366,4.1652892561983474,11.118958225579922,4.508680508380721,3.4647791454281918,3.342122015011445
